"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Toronto Maple Leafs","82","3944.3833","50","21","11","49","111","0.677","3764","3606","51.07","2849","2637","51.93","2047","1858","52.42","184","142","56.44","190.8","165.58","53.54","2126","1808","54.04","1199","987","54.85","162","125","56.45","13.51","87.34","914","767","54.37","640","523","55.03","103","69","59.88","16.09","86.81","1212","1041","53.79","559","464","54.64","59","56","51.30","10.55","87.93","1472","1574","48.33","777","773","50.13","22","17","56.41","2.83","97.80","8.99","92.36","1.013"
"12","Montreal Canadiens","82","3947.7167","31","45","6","26","68","0.415","3359","4022","45.51","2432","2903","45.59","1769","2095","45.78","162","200","44.75","152.52","196.28","43.73","1606","2092","43.43","899","1187","43.10","133","181","42.36","14.79","84.75","657","899","42.22","454","625","42.08","80","126","38.83","17.62","79.84","949","1193","44.30","445","562","44.19","53","55","49.07","11.91","90.21","1490","1696","46.77","773","821","48.49","29","19","60.42","3.75","97.69","9.16","90.45","0.996"
"13","Chicago Blackhawks","82","4039.25","26","49","7","24","59","0.360","3223","4119","43.90","2411","3062","44.05","1717","2225","43.56","135","208","39.36","143","193.15","42.54","1525","2129","41.74","892","1231","42.02","121","172","41.30","13.57","86.03","612","868","41.35","421","625","40.25","74","109","40.44","17.58","82.56","913","1261","42.00","471","606","43.73","47","63","42.73","9.98","89.60","1456","1736","45.61","732","900","44.85","14","36","28.00","1.91","96.00","7.86","90.65","0.985"
"14","Colorado Avalanche","82","3943.15","51","24","7","45","109","0.665","3941","3610","52.19","2837","2685","51.38","2119","1997","51.48","174","145","54.55","172.49","161.56","51.64","1907","1694","52.96","1122","1015","52.50","142","121","53.99","12.66","88.08","749","756","49.77","547","540","50.32","94","80","54.02","17.18","85.19","1158","938","55.25","575","475","54.76","48","41","53.93","8.35","91.37","1801","1647","52.23","923","883","51.11","32","24","57.14","3.47","97.28","8.21","92.74","1.010"
"15","Seattle Kraken","82","4003.2833","46","28","8","46","100","0.610","3846","3445","52.75","2891","2518","53.45","2021","1724","53.97","209","160","56.64","172.14","160.55","51.74","1831","1717","51.61","1065","921","53.63","176","145","54.83","16.53","84.26","704","719","49.47","491","474","50.88","98","95","50.78","19.96","79.96","1127","998","53.04","574","447","56.22","78","50","60.94","13.59","88.81","1710","1507","53.16","849","701","54.77","32","15","68.09","3.77","97.86","10.34","90.72","1.011"
"16","Anaheim Ducks","82","3992.5","23","47","12","20","58","0.354","3300","4433","42.67","2464","3444","41.71","1801","2537","41.52","143","224","38.96","150.64","226.64","39.93","1613","2305","41.17","938","1428","39.64","120","185","39.34","12.79","87.04","673","1055","38.95","484","786","38.11","73","129","36.14","15.08","83.59","940","1250","42.92","454","642","41.42","47","56","45.63","10.35","91.28","1388","1907","42.12","694","1013","40.66","23","39","37.10","3.31","96.15","7.94","91.17","0.991"
"17","Vancouver Canucks","82","3975.6667","38","37","7","32","83","0.506","3378","3715","47.62","2516","2774","47.56","1846","1987","48.16","169","192","46.81","159.04","178.66","47.10","1727","1916","47.41","1024","1107","48.05","146","163","47.25","14.26","85.28","737","811","47.61","539","577","48.30","100","109","47.85","18.55","81.11","990","1105","47.26","485","530","47.78","46","54","46.00","9.48","89.81","1442","1578","47.75","736","773","48.77","23","28","45.10","3.13","96.38","9.15","90.34","0.995"
"18","Edmonton Oilers","82","3940.2167","50","23","9","50","109","0.665","3803","3472","52.27","2842","2660","51.65","2090","1961","51.59","191","168","53.20","193.5","167.06","53.67","2041","1750","53.84","1210","1037","53.85","167","143","53.87","13.80","86.21","903","698","56.40","646","501","56.32","101","89","53.16","15.63","82.24","1138","1052","51.96","564","536","51.27","66","54","55.00","11.70","89.93","1545","1505","50.66","772","799","49.14","24","25","48.98","3.11","96.87","9.14","91.43","1.006"
"19","Arizona Coyotes","82","3874.1667","28","40","14","25","70","0.427","3150","3830","45.13","2348","2898","44.76","1661","2089","44.29","151","180","45.62","144.06","179.33","44.55","1603","1985","44.68","917","1160","44.15","133","157","45.86","14.50","86.47","641","819","43.90","441","575","43.41","83","99","45.60","18.82","82.78","962","1166","45.21","476","585","44.86","50","58","46.30","10.50","90.09","1357","1648","45.16","667","838","44.32","18","23","43.90","2.70","97.26","9.09","91.38","1.005"
"20","Pittsburgh Penguins","82","3922.35","40","31","11","39","91","0.555","4115","3777","52.14","3062","2802","52.22","2207","2055","51.78","168","172","49.41","202.72","173.26","53.92","2061","1849","52.71","1193","1100","52.03","144","145","49.83","12.07","86.82","931","800","53.78","647","580","52.73","102","100","50.50","15.77","82.76","1130","1049","51.86","546","520","51.22","42","45","48.28","7.69","91.35","1761","1666","51.39","871","836","51.03","24","27","47.06","2.76","96.77","7.61","91.63","0.992"
